station,lon,lat,srid,Longitude,Latitude,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Hayes,-0.431656889,51.49440962050372,4326,-0.431656889,51.49440962050372,8.0,5.0,5.0,11.0,12.0,11.0,10.0,7.0,12.0,5.0,10.0,5.0
Lewisham,-0.01306595,51.457015585312405,4326,-0.01306595,51.457015585312405,5.0,2.0,6.0,5.0,6.0,4.0,5.0,12.0,9.0,2.0,3.0,3.0
Romford,0.181133449981198,51.593710839494186,4326,0.1811334499811983,51.593710839494186,8.0,11.0,6.0,1.0,10.0,8.0,7.0,12.0,8.0,4.0,10.0,2.0
Southall,-0.374437502,51.51129257002002,4326,-0.374437502,51.51129257002002,10.0,17.0,11.0,11.0,14.0,24.0,12.0,26.0,17.0,15.0,14.0,9.0
Ruislip,-0.436702667,51.588393022662274,4326,-0.436702667,51.588393022662274,5.0,2.0,3.0,4.0,2.0,6.0,9.0,12.0,4.0,1.0,3.0,5.0
Stanmore,-0.29758775,51.60366565073559,4326,-0.29758775,51.60366565073559,13.0,8.0,7.0,8.0,6.0,20.0,10.0,23.0,12.0,7.0,11.0,6.0
Southgate,-0.127420879,51.63048629096359,4326,-0.127420879,51.63048629096359,8.0,4.0,5.0,10.0,6.0,17.0,10.0,14.0,3.0,9.0,9.0,4.0
Richmond,-0.284856787,51.467407165281095,4326,-0.284856787,51.467407165281095,5.0,4.0,2.0,4.0,3.0,5.0,7.0,7.0,6.0,2.0,3.0,3.0
Twickenham,-0.347617951,51.43516682848798,4326,-0.347617951,51.43516682848797,5.0,5.0,7.0,7.0,9.0,10.0,10.0,5.0,4.0,3.0,2.0,7.0
Sidcup,0.094486868970587,51.42691251526856,4326,0.0944868689705866,51.42691251526856,15.0,8.0,6.0,7.0,14.0,10.0,9.0,18.0,8.0,6.0,8.0,9.0
Willesden,-0.23674362,51.54435182625723,4326,-0.23674362,51.54435182625723,5.0,5.0,7.0,13.0,8.0,10.0,6.0,17.0,8.0,12.0,8.0,7.0
Tooting,-0.162704641,51.43782735585636,4326,-0.162704641,51.43782735585636,7.0,10.0,7.0,13.0,10.0,18.0,8.0,16.0,15.0,10.0,8.0,4.0
Wimbledon,-0.197451616,51.415559666949335,4326,-0.197451616,51.415559666949335,8.0,4.0,8.0,5.0,9.0,12.0,6.0,11.0,4.0,9.0,7.0,8.0
Park Royal,-0.264825581,51.53578040104178,4326,-0.264825581,51.53578040104178,6.0,6.0,4.0,5.0,7.0,15.0,7.0,6.0,3.0,6.0,3.0,4.0
New Cross,-0.049244873,51.473603675313896,4326,-0.049244873,51.473603675313896,3.0,2.0,5.0,7.0,2.0,5.0,2.0,7.0,4.0,6.0,5.0,1.0
Deptford,-0.033855518,51.484828461302165,4326,-0.033855518,51.48482846130217,3.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,8.0,2.0
Ealing,-0.313906737,51.51208627932726,4326,-0.313906737,51.51208627932726,9.0,4.0,3.0,10.0,12.0,13.0,5.0,7.0,9.0,9.0,11.0,6.0
Chelsea,-0.170281683,51.48715247920567,4326,-0.170281683,51.48715247920567,12.0,5.0,5.0,7.0,9.0,7.0,13.0,8.0,4.0,7.0,3.0,5.0
Stoke Newington,-0.076885661,51.56245548591512,4326,-0.076885661,51.56245548591512,9.0,9.0,11.0,16.0,12.0,6.0,7.0,12.0,2.0,20.0,22.0,12.0
Biggin Hill,0.0340880163935,51.313600532902704,4326,0.0340880163934997,51.313600532902704,3.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0
Euston,-0.13076199,51.52768712545847,4326,-0.13076199,51.52768712545847,10.0,5.0,11.0,14.0,17.0,19.0,8.0,12.0,11.0,14.0,13.0,5.0
Shoreditch,-0.085533056,51.52663555763736,4326,-0.085533056,51.52663555763736,7.0,16.0,5.0,16.0,10.0,13.0,13.0,16.0,13.0,8.0,5.0,7.0
Croydon,-0.105522281,51.3691318187086,4326,-0.105522281,51.36913181870859,15.0,11.0,13.0,12.0,6.0,18.0,17.0,16.0,11.0,6.0,19.0,4.0
Northolt,-0.419101287,51.555869332320974,4326,-0.419101287,51.555869332320974,8.0,6.0,6.0,10.0,12.0,16.0,15.0,12.0,13.0,11.0,14.0,9.0
Walthamstow,-0.028747788,51.58976600624981,4326,-0.028747788,51.58976600624981,10.0,9.0,7.0,11.0,12.0,17.0,28.0,21.0,16.0,3.0,11.0,8.0
Shadwell,-0.0558371,51.51094495287271,4326,-0.0558371,51.51094495287271,4.0,8.0,5.0,1.0,6.0,5.0,3.0,10.0,3.0,3.0,5.0,4.0
Whitechapel,-0.069276381,51.51525161440094,4326,-0.069276381,51.51525161440094,5.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,3.0,3.0,8.0,5.0
Hammersmith,-0.224290696,51.49612671227016,4326,-0.224290696,51.49612671227016,4.0,7.0,7.0,10.0,10.0,13.0,11.0,7.0,14.0,7.0,12.0,9.0
Barking,0.089001370951482,51.52996399190332,4326,0.0890013709514822,51.52996399190332,13.0,11.0,7.0,7.0,12.0,17.0,16.0,25.0,12.0,12.0,13.0,15.0
Hornchurch,0.220582115030846,51.56459483040808,4326,0.2205821150308458,51.56459483040808,3.0,2.0,1.0,3.0,5.0,13.0,15.0,20.0,16.0,4.0,1.0,3.0
Eltham,0.059424766251835,51.45068606627644,4326,0.0594247662518352,51.45068606627644,3.0,6.0,4.0,2.0,10.0,12.0,13.0,21.0,7.0,8.0,7.0,5.0
Leyton,-0.016740825,51.563131808266206,4326,-0.016740825,51.563131808266206,3.0,7.0,3.0,7.0,9.0,6.0,15.0,14.0,9.0,7.0,9.0,6.0
Millwall,-0.02557125,51.500808607255614,4326,-0.02557125,51.500808607255614,3.0,3.0,0.0,3.0,4.0,6.0,3.0,8.0,7.0,2.0,4.0,3.0
Kingston,-0.306486897,51.4294022044541,4326,-0.306486897,51.4294022044541,4.0,2.0,3.0,4.0,2.0,6.0,5.0,6.0,2.0,7.0,3.0,3.0
Bexley,0.153648688817385,51.461114218019794,4326,0.1536486888173847,51.461114218019794,10.0,7.0,5.0,10.0,5.0,12.0,18.0,19.0,10.0,8.0,5.0,5.0
Soho,-0.12996417,51.51246883914643,4326,-0.12996417,51.51246883914643,25.0,23.0,29.0,28.0,14.0,34.0,35.0,38.0,21.0,16.0,18.0,11.0
Heathrow,-0.458644725,51.48021028984328,4326,-0.458644725,51.48021028984328,5.0,4.0,4.0,2.0,6.0,10.0,7.0,11.0,7.0,13.0,9.0,4.0
Fulham,-0.200938224,51.4779085938652,4326,-0.200938224,51.4779085938652,7.0,3.0,2.0,9.0,4.0,7.0,14.0,13.0,4.0,2.0,2.0,5.0
Woodside,-0.062192754,51.38578269624768,4326,-0.062192754,51.38578269624768,5.0,1.0,5.0,4.0,6.0,15.0,9.0,2.0,5.0,5.0,5.0,3.0
Plumstead,0.091501146508344,51.4874573603677,4326,0.0915011465083442,51.48745736036769,24.0,14.0,19.0,18.0,22.0,35.0,37.0,33.0,38.0,18.0,19.0,20.0
