station,geometry,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Southall,POINT (-0.374438 51.511293),297.4,356.8235294117647,376.0,395.0,329.2857142857143,403.5416666666667,401.1666666666667,349.7307692307692,285.4117647058824,403.8666666666667,407.92857142857144,350.1111111111111
Ruislip,POINT (-0.436703 51.588393),419.8,341.5,381.3333333333333,307.5,437.5,443.0,377.0,378.0,375.0,513.0,399.3333333333333,331.8
Stanmore,POINT (-0.297588 51.603666),370.53846153846155,346.75,345.0,301.125,313.0,385.65,333.0,367.2173913043478,390.6666666666667,319.14285714285717,322.3636363636364,299.0
Southgate,POINT (-0.127421 51.630486),249.125,259.75,421.4,286.7,359.0,428.5882352941176,383.6,278.7142857142857,487.3333333333333,402.3333333333333,407.55555555555554,250.5
Richmond,POINT (-0.284857 51.467407),448.0,433.0,405.5,342.25,446.6666666666667,492.0,307.2857142857143,460.57142857142856,402.3333333333333,276.0,231.66666666666666,318.3333333333333
Twickenham,POINT (-0.347618 51.435167),340.6,308.4,442.0,254.57142857142858,287.77777777777777,371.1,261.5,333.2,316.25,372.6666666666667,52.5,428.7142857142857
Sidcup,POINT (0.094487 51.426913),407.4,403.25,262.1666666666667,501.14285714285717,351.42857142857144,460.1,361.44444444444446,466.1666666666667,511.75,310.3333333333333,431.625,300.3333333333333
Willesden,POINT (-0.236744 51.544352),358.8,301.8,370.14285714285717,296.46153846153845,221.375,322.4,254.0,336.05882352941177,356.375,283.6666666666667,291.625,301.57142857142856
Tooting,POINT (-0.162705 51.437827),314.14285714285717,317.8,208.85714285714286,283.38461538461536,285.0,305.72222222222223,342.625,346.1875,354.6,315.4,283.75,202.0
Wimbledon,POINT (-0.197452 51.41556),384.375,300.5,278.0,243.0,325.44444444444446,349.25,425.6666666666667,271.3636363636364,312.5,344.0,479.42857142857144,426.25
Park Royal,POINT (-0.264826 51.53578),347.3333333333333,314.8333333333333,253.5,411.0,322.14285714285717,445.73333333333335,391.42857142857144,356.8333333333333,645.3333333333334,291.6666666666667,475.6666666666667,376.5
New Cross,POINT (-0.049245 51.473604),430.0,344.0,298.8,244.71428571428572,228.0,305.4,324.0,287.7142857142857,373.25,290.5,432.2,297.0
Deptford,POINT (-0.033856 51.484828),252.0,322.5,195.5,277.4,244.75,265.0,257.4,369.6,219.0,297.0,271.375,269.0
