name,lon,lat,srid,Longitude,Latitude
Wallington,-0.1482993,51.3622744,4326,-0.1482993,51.3622744
Lee Green,0.0125225,51.456281100000005,4326,0.0125225,51.456281100000005
Chingford,-0.0047711,51.6296127,4326,-0.0047711,51.6296127
Brixton,-0.1094833,51.4637188,4326,-0.1094833,51.4637188
Hendon,-0.2286435,51.588847300000005,4326,-0.2286435,51.588847300000005
Dowgate,-0.0901008,51.510035,4326,-0.0901008,51.510035
Old Kent Road,-0.0736212,51.487050700000005,4326,-0.0736212,51.487050700000005
Feltham,-0.41388462,51.46063583099778,4326,-0.41388462,51.46063583099779
Sutton,-0.211112875,51.36894318496129,4326,-0.211112875,51.36894318496129
Norbury,-0.12162527,51.40677604261104,4326,-0.12162527,51.40677604261104
Surbiton,-0.298031504,51.392239118504484,4326,-0.298031504,51.39223911850449
Wandsworth,-0.20140371,51.45643199633992,4326,-0.20140371,51.45643199633992
Holloway,-0.116026862,51.56154742456732,4326,-0.116026862,51.56154742456732
Islington,-0.102278269,51.540260523678,4326,-0.102278269,51.540260523678
Plaistow,0.032543993130175,51.52102590690401,4326,0.0325439931301754,51.52102590690401
Addington,-0.02368477,51.35190135393896,4326,-0.02368477,51.35190135393896
Poplar,-0.01465207,51.51092099357651,4326,-0.01465207,51.51092099357651
Battersea,-0.1692937,51.4671147,4326,-0.1692937,51.4671147
Barnet,-0.185979732,51.64721251294573,4326,-0.185979732,51.64721251294573
West Hampstead,-0.192838243,51.55167926305226,4326,-0.192838243,51.55167926305226
Peckham,-0.07797625,51.4738848,4326,-0.07797625,51.4738848
North Kensington,-0.212213165,51.52182863376975,4326,-0.212213165,51.52182863376975
Wembley,-0.304021275,51.5517024556973,4326,-0.304021275,51.5517024556973
Edmonton,-0.069076107,51.62722948234083,4326,-0.069076107,51.62722948234083
Mill Hill,-0.243210754,51.61499919681709,4326,-0.243210754,51.61499919681709
Chiswick,-0.2690961,51.490494450170395,4326,-0.2690961,51.49049445017039
Clapham,-0.140883458,51.46490572825837,4326,-0.140883458,51.46490572825837
Acton,-0.276922903,51.50704453736283,4326,-0.276922903,51.50704453736283
Beckenham,-0.034259919,51.408051019923995,4326,-0.034259919,51.40805101992399
Hillingdon,-0.452172117,51.531999212778935,4326,-0.452172117,51.531999212778935
Erith,0.156402857203147,51.485609161383735,4326,0.1564028572031471,51.485609161383735
Harold Hill,0.223605867092998,51.598367696306696,4326,0.2236058670929979,51.598367696306696
Finchley,-0.179274418,51.59794872680323,4326,-0.179274418,51.59794872680323
Lambeth,-0.122246367,51.49306877083647,4326,-0.122246367,51.49306877083647
East Ham,0.05693471634772,51.52322200863399,4326,0.0569347163477199,51.52322200863399
Hornsey,-0.12720998,51.58651676667061,4326,-0.12720998,51.58651676667062
Hayes,-0.431656889,51.49440962050372,4326,-0.431656889,51.49440962050372
Lewisham,-0.01306595,51.457015585312405,4326,-0.01306595,51.457015585312405
Romford,0.181133449981198,51.593710839494186,4326,0.1811334499811983,51.593710839494186
Southall,-0.374437502,51.51129257002002,4326,-0.374437502,51.51129257002002
Ruislip,-0.436702667,51.588393022662274,4326,-0.436702667,51.588393022662274
Stanmore,-0.29758775,51.60366565073559,4326,-0.29758775,51.60366565073559
Southgate,-0.127420879,51.63048629096359,4326,-0.127420879,51.63048629096359
Richmond,-0.284856787,51.467407165281095,4326,-0.284856787,51.467407165281095
Twickenham,-0.347617951,51.43516682848798,4326,-0.347617951,51.43516682848797
Sidcup,0.094486868970587,51.42691251526856,4326,0.0944868689705866,51.42691251526856
Willesden,-0.23674362,51.54435182625723,4326,-0.23674362,51.54435182625723
Tooting,-0.162704641,51.43782735585636,4326,-0.162704641,51.43782735585636
Wimbledon,-0.197451616,51.415559666949335,4326,-0.197451616,51.415559666949335
Park Royal,-0.264825581,51.53578040104178,4326,-0.264825581,51.53578040104178
New Cross,-0.049244873,51.473603675313896,4326,-0.049244873,51.473603675313896
Deptford,-0.033855518,51.484828461302165,4326,-0.033855518,51.48482846130217
Ealing,-0.313906737,51.51208627932726,4326,-0.313906737,51.51208627932726
Chelsea,-0.170281683,51.48715247920567,4326,-0.170281683,51.48715247920567
Stoke Newington,-0.076885661,51.56245548591512,4326,-0.076885661,51.56245548591512
Biggin Hill,0.0340880163935,51.313600532902704,4326,0.0340880163934997,51.313600532902704
Euston,-0.13076199,51.52768712545847,4326,-0.13076199,51.52768712545847
Shoreditch,-0.085533056,51.52663555763736,4326,-0.085533056,51.52663555763736
Croydon,-0.105522281,51.369131818708595,4326,-0.105522281,51.36913181870859
Northolt,-0.419101287,51.555869332320974,4326,-0.419101287,51.555869332320974
Walthamstow,-0.028747788,51.58976600624981,4326,-0.028747788,51.58976600624981
Shadwell,-0.0558371,51.51094495287271,4326,-0.0558371,51.51094495287271
Whitechapel,-0.069276381,51.51525161440094,4326,-0.069276381,51.51525161440094
Hammersmith,-0.224290696,51.49612671227016,4326,-0.224290696,51.49612671227016
Barking,0.089001370951482,51.52996399190332,4326,0.0890013709514822,51.52996399190332
Hornchurch,0.220582115030846,51.56459483040808,4326,0.2205821150308458,51.56459483040808
Eltham,0.059424766251835,51.45068606627644,4326,0.0594247662518352,51.45068606627644
Leyton,-0.016740825,51.563131808266206,4326,-0.016740825,51.563131808266206
Millwall,-0.02557125,51.500808607255614,4326,-0.02557125,51.500808607255614
Kingston,-0.306486897,51.4294022044541,4326,-0.306486897,51.4294022044541
Bexley,0.153648688817385,51.461114218019794,4326,0.1536486888173847,51.461114218019794
Soho,-0.12996417,51.51246883914643,4326,-0.12996417,51.51246883914643
Heathrow,-0.458644725,51.48021028984328,4326,-0.458644725,51.48021028984328
Fulham,-0.200938224,51.4779085938652,4326,-0.200938224,51.4779085938652
Woodside,-0.062192754,51.38578269624768,4326,-0.062192754,51.38578269624768
Plumstead,0.091501146508344,51.4874573603677,4326,0.0915011465083442,51.48745736036769
Mitcham,-0.172743776,51.39719389643946,4326,-0.172743776,51.39719389643946
Leytonstone,0.008695084830752,51.56062233387371,4326,0.0086950848307522,51.56062233387371
Stratford,0.011170809936671,51.54373622786176,4326,0.0111708099366713,51.54373622786176
West Norwood,-0.105540715,51.42598872943221,4326,-0.105540715,51.42598872943222
Hainault,0.104398620749399,51.60617822287404,4326,0.1043986207493989,51.60617822287404
Woodford,0.024005333507144,51.60955591646346,4326,0.0240053335071444,51.60955591646346
Orpington,0.110662806185832,51.37239221440974,4326,0.1106628061858317,51.37239221440974
Kensington,-0.190085247,51.50290351225268,4326,-0.190085247,51.50290351225268
New Malden,-0.24533721,51.39901677807658,4326,-0.24533721,51.39901677807658
Homerton,-0.043939005,51.54865444023918,4326,-0.043939005,51.54865444023918
Dockhead,-0.070832719,51.50078679340314,4326,-0.070832719,51.50078679340314
Tottenham,-0.071815315,51.59236840858054,4326,-0.071815315,51.59236840858055
Harrow,-0.366347609,51.5908010380406,4326,-0.366347609,51.5908010380406
Heston,-0.343197831,51.47500756540316,4326,-0.343197831,51.47500756540316
Greenwich,-0.013695768,51.4739515351756,4326,-0.013695768,51.4739515351756
Kentish Town,-0.141651589,51.55284414272218,4326,-0.141651589,51.55284414272217
Ilford,0.090084361336103,51.562108745570775,4326,0.090084361336103,51.562108745570775
Paddington,-0.183054967,51.520203680264906,4326,-0.183054967,51.520203680264906
Bethnal Green,-0.05355033,51.52784033205921,4326,-0.05355033,51.52784033205921
East Greenwich,0.022144381150439,51.48700470567812,4326,0.0221443811504388,51.48700470567812
Bromley,0.016881476393572264,51.4070793341232,4326,0.016881476393572264,51.4070793341232
